Sample,n-C23,n-C24,C25ene1,C25ene2,n-C25,5-MeC25,3-MeC25,C26-ene1,n-C26,"3,7-; 3,9-DiMeC25",C27-ene1,C27-ene2,"4,8-; 4,10-; 4,12-; 4,14-DiMeC26",n-C27,11-; 13-MeC27,9-MeC27,7-MeC27,5-MeC27,3-MeC27,"5,9-; 5,11-; 5,21-DiMeC27",C28ene1,n-C28,"3,7-; 3,9-DiMeC27","3,7,11-; 3,7,13-; 3,7,15-; 3,9,11-; 3,9,13-; 3,9,15-TriMeC27 ",4-MeC28,3-MeC28,C29diene,C29-ene1,C29-ene2,C29-ene3,"4,12-; 4,14-; 4,16-; 4,18-DiMeC28 ",n-C29,5-MeC29,3-MeC29,n-C30,C31-ene1,n-C31,7-MeC31,5.MeC31,3-MeC31,C33-ene1,n-C33,9-; 11-; 13-MeC33,7-MeC33,5-MeC33,3-MeC33,"3,7-; 3,9-; 3,11-; 3,13-DiMeC33 ",3-MeC34,"4,10-DiMeC34",C35-ene,9-; 11-; 13-MeC35,7-MeC35,5-MeC35,"7,11-; 7,13-DiMeC35",3-MeC35,"3,9-; 3,11-; 3,13-; 3,15-DiMeC35",10-; 12-; 14-MeC36,C38-ene,C39-ene
QLE_CT2_19-10_04_X2,30026408.48,23423109.06,1950442.779,673545.5671,185531055.8,,,1910870.623,8258088.955,,,77316904.77,,164508495.8,,,,,,,2732490.347,10258765.8,,,,,112442862.6,76977211.86,55407974.02,,,81192541.29,,5920481.516,2365148.751,36682605.96,11295712.87,,,,56365455.81,37705139.79,,,4220362.754,4654487.315,,,,3448795.843,2553272.45,294089.3136,,,,1936403.885,235797.2088,40565236.36,1484218.061
QLE_CT2_19-10_05_X2,42892762.63,28347385.53,2158134.533,,226382861.3,,,2434475.599,12881520.86,,,78111388.93,,204693462.8,,,,,,,5140724.161,16555399.41,,,,,128518997,86572315.96,64955353.82,,,111366489.3,,9054269.869,4117073.091,38153245.41,64047346.73,,,,65059831.15,34339945.59,,,5712612.146,6608951.611,,,,3726155.544,6169128.481,2146008.66,2193065.6,61635.81531,795192.9484,1924610.708,,35695233.99,353970.5213
QLE_CT2_19-16_01,59495977.57,26309234.95,1297492.977,1305862.66,1134471214,,,1463292.906,16171094.56,,,84642225.83,,763903625.9,,,,,,,2998869.767,10821400.22,,,,,90667650.62,66356564.66,65483692.99,,,72497417.66,,4963650.743,2641107.784,27904698.15,27626292.8,,,,25420122.24,15152730.1,,,4584326.485,5945692.142,,,,2762909.678,1668155.033,888368.0805,,,445896.2348,1742173.861,118726.3309,16805722.64,193391.2283
QLE_CT2_19-16_02,64404241.71,25267455.42,1529482.84,783339.5232,1104921755,,,2012223.511,15318200.88,,,80414047,,652835184.3,,,,,,,2747433.243,9927085.366,,,,,68028410.94,63571215.63,59160994.71,,,67147585.72,,4312209.228,2304706.572,21908773.62,10303676.65,,,,24047993.11,13440028.66,,,3371236.818,4397464.813,,,,2262522.361,1865931.798,122113.7487,494917.3491,358929.1444,388539.8837,1416785.439,251616.2631,17394601.75,75766.45762
QLE_CT2_19-16_03,59647699.07,20483338.05,734503.2444,729110.5541,951416347.8,,,1096939.263,13175545.91,,,75473455.66,,530326344.3,,,,,,,3205156.995,8708643.633,,,,,62180291.68,52818840.55,59204620.24,,,59655477.31,,4263258.188,1556559.418,20845936.47,9829855.047,,,,24701492.96,13043950.88,,,3164422.385,4249060.121,,,,1940328.102,1231650.396,91757.22453,208096.77,279755.4782,51015.13747,835672.6162,105204.7324,13260235.62,818625.1325
QLE_CT2_19-16_04,76152384.07,20714351.7,1171353.588,1183303.499,1349702273,,,1629804.671,16507919.19,,,95828033.58,,855937150.3,,,,,,,3344867.737,11675157.32,,,,,90785639.03,63712429.22,61361319.07,,,74801617.53,,4869990.706,2217040.006,26197164.7,11970662.52,,,,24229873.01,16653214.61,,,2646915.059,4852322.078,,,,2007168.619,661509.1989,751523.123,,527077.6666,561738.9962,,,16231695.03,
QLE_CT2_19-16_05,64074581.9,18908796.5,1474080.92,1619828.711,1393763781,,,1624131.519,15881701.49,,,89318936.78,,913204442.8,,,,,,,2606353.891,11185642.67,,,,,70646353.62,68448257.81,74737582.35,,,74747439.78,,4995859.839,2304684.1,24536743.21,12055423.79,,,,27755720.04,,,,3636319.191,5044879.021,,,,2336678.905,1975799.334,922126.5028,454356.459,1361845.175,107911.7937,983150.941,108545.8708,16180867.48,39713.4913
QLE_CT2_19-17_01,7486358.105,1688030.463,,,29798813.04,,,961758.4813,2001972.701,,,69197273.21,,44780849.66,,,,,,,4424908.624,3314986.226,,,,,202618743.6,188013721,146232927.7,,,22004397.91,,9507216.247,1180091.841,29274903.23,17059778.68,,,,23154884.6,14508163.62,,,9636139.736,11575649.21,,,,1254507.071,21295942.03,1178746.945,13347173.69,2905900.826,1059532.837,1263776.922,46336.63381,18916003.4,111672.7652
QLE_CT2_19-17_02_X1,29011625.48,7578295.3,911352.6448,1220042.158,225008236.3,,,1432898.286,8362833.1,,,79741678.44,,200098183.6,,,,,,,5655864.082,10700076.49,,,,,141725354.1,124454147.6,90844897.41,,,60848583.28,,14081162.5,2230461.097,17058425.84,23191386.06,,,,24953657.63,,,,5028427.269,9160815.246,,,,1930198.222,5505775.222,840736.7409,1942590.564,630228.2653,1126099.853,1509977.509,412774.1008,18671342.46,
QLE_CT2_19-17_03,20190151.67,5748369.825,966005.1875,816734.5245,88286458.25,,,1120593.991,5171002.039,,,66973235.9,,78406579.8,,,,,,,3596975.318,6078240.983,,,,,108789183.7,109870789.6,77539521.03,,,39705161.07,,11414189.03,1023158.777,13117656.37,21921964.36,,,,22381002.15,,,,4281100.658,8299590.446,,,,1614949.049,11343542.85,9204654.122,1728757.948,,1037360.694,1502147.708,,21133857.35,211328.191
QLE_CT2_19-17_04,32506810.84,10432554.02,799494.427,1106294.975,346219910.4,,,1364016.785,9022395.874,,,83800522.93,,332573066.5,,,,,,,7082582.193,10518919.91,,,,,180161410.4,158780744.1,144190150.9,,,64931671.37,,16784729.27,2161682.598,28344247.66,6841340.905,,,,25865167.05,,,,8140757.265,9907823.375,,,,2673271.846,7735500.388,514845.9955,1314061.011,497442.432,828649.7823,2173509.915,82310.03499,17234529.57,681856.3972
QLE_CT2_19-17_05,23795764.75,5893217.832,1133210.345,1219645.11,107664284,,,1363109.314,5680171.52,,,73429118.5,,98827103.41,,,,,,,4450994.298,8341537.695,,,,,145727331.3,126446598.6,91109527.71,,,48246717.86,,12431492.07,2485135.516,29517438.77,22706879.79,,,,23558823.3,13210038.29,,,6981483.422,12003244.96,,,,2512579.397,4751147.402,2297226.124,1616961.019,662494.0183,1022199.909,2908404.466,327085.3706,19980003.54,723551.1913
WLE_CT1_18-05_01,,,,,75597572.63,6835742.64,4749724.342,,186298535.1,64266403.78,179825.906,,2426793.019,3346892534,77097727.77,244326344.3,135177518.7,1491701160,2368929491,777262311,,827969983.4,1984257824,230888907.8,706877437.3,54694515.13,,,,62870521.93,110933541.2,748229328.1,167177345.1,481617410.7,,,,5259814.768,,,,,,,,,,,,,,,,,,,,,
WLE_CT1_18-05_02,,,,,44612822.51,5913587.542,3581711.352,,120536742.8,69935238.84,180448.8311,,3350756.358,2878824223,91908427.11,254862498.9,83161755.17,1188811726,2089490782,628171085.4,,520496919.9,1838568997,270840475.6,492207993.6,39610149.19,,,,68652725.64,85825984.22,504008674.5,104878885.4,312767631.2,,,,3635060.824,,,,,,,,,,,,,,,,,,,,,
WLE_CT1_18-05_03,,,,,45666671.86,7269813.279,4412209.111,,121705356.5,81372894.34,303023.676,,3299803.405,2828471594,113303016,294422923.9,89383625.82,1170508287,2110262309,738608856.3,,529730281.7,1893144697,299742246.1,516218645.9,36245595.3,,,,89613166.98,117242516.1,482639712.9,87277225.45,317049714.1,,,,4016527.149,,,,,,,,,,,,,,,,,,,,,
WLE_CT1_18-05_04,,,,,63942717.94,10076673.57,6997292.939,,185855012.5,111274904.6,303433.1235,,4245497.605,3375624667,138687551.5,401941780.6,125928144.5,1555412052,2332796582,942288696.5,,789837578.4,2250138500,448635847.8,721353817.3,46780713.73,,,,110916398.8,150708178.2,700759198.5,170611712.3,474414461.4,,,,3851200.837,,,,,,,,,,,,,,,,,,,,,
WLE_CT1_18-05_05,,,,,21144708.56,4134218.179,2162028.755,,57727582.64,38165514.53,130249.7362,,1374306.055,1930085029,46954218.61,159594378.1,48618802.91,755833906.9,1498907455,460004784.2,,243693304.6,1349968023,138197333.7,258537951,17343844,,,,48910169.82,57305678.49,221677959.6,44913516.78,156399269.9,,,,3468817.229,,,,,,,,,,,,,,,,,,,,,
